,index,policy,item_util,max_envy,imp_in_item_util
240,0,Max,0.10944233472467335,0.06920970944668492,0.9496401281479733
241,1,Max,0.4451132830280688,0.0,2.4605782594093193
242,2,Max,0.16613775365731112,0.16252863364716125,1.2798480025861823
243,3,Max,0.4139622685852558,0.0,2.054872206946321
244,4,Max,0.13317824759106334,0.13327647524827213,0.9942731612086572
245,5,Max,0.24613591394317474,0.07696418346241525,1.4289548396154619
246,6,Max,0.03403463329514922,0.10265655638408251,0.4352310039593576
247,7,Max,0.15510688669506648,0.196134463411525,0.9263891580994535
248,8,Max,0.10992046284681063,0.1984790445204699,0.5798563965553444
249,9,Max,0.05268579965258189,0.184814436339039,0.47516385453404936
250,0,Expo-Fair,0.11309165928067108,0.06357462519204345,0.98130561708084
251,1,Expo-Fair,0.4231818176425346,0.0,2.3393415114122242
252,2,Expo-Fair,0.1688754924233269,0.1537707472110304,1.3009382690316733
253,3,Expo-Fair,0.3702264093498676,0.0,1.8377712573915268
254,4,Expo-Fair,0.15035633029314582,0.08175588542718018,1.1225201302193035
255,5,Expo-Fair,0.24613585454453818,0.0379922740767241,1.4289544947735904
256,6,Expo-Fair,0.03524760382652799,0.08421097609569708,0.45074233259824553
257,7,Expo-Fair,0.17244250135715208,0.1547902026871309,1.0299276006156672
258,8,Expo-Fair,0.11662887053266324,0.1575872266479291,0.6152448311252006
259,9,Expo-Fair,0.05825678443055336,0.16558015029575998,0.5254075751970557
260,0,NSW,0.14295364962275225,0.011828713773544774,1.2404205601835137
261,1,NSW,0.20319511633745257,0.012584312757187455,1.123258965171243
262,2,NSW,0.16776282816235005,0.0,1.2923668209374757
263,3,NSW,0.25429279347464295,0.0,1.2622870087256932
264,4,NSW,0.22279625166444444,0.0,1.6633371999911448
265,5,NSW,0.19065972794151476,0.021788379332224838,1.1068849587902634
266,6,NSW,0.08332570877575327,0.003938460593859705,1.0655596483616276
267,7,NSW,0.16562197822947228,0.01819365007934235,0.989191442391623
268,8,NSW,0.1504240974988112,0.04459980600989235,0.7935226332908522
269,9,NSW,0.0970796129115475,0.036985751245821576,0.8755437588857744
270,0,Max,0.10944233472467335,0.06920970944668492,0.9496401281479733
271,1,Max,0.4451132830280688,0.0,2.4605782594093193
272,2,Max,0.16613775365731112,0.16252863364716125,1.2798480025861823
273,3,Max,0.4139622685852558,0.0,2.054872206946321
274,4,Max,0.13317824759106334,0.13327647524827213,0.9942731612086572
275,5,Max,0.24613591394317474,0.07696418346241525,1.4289548396154619
276,6,Max,0.03403463329514922,0.10265655638408251,0.4352310039593576
277,7,Max,0.15510688669506648,0.196134463411525,0.9263891580994535
278,8,Max,0.10992046284681063,0.1984790445204699,0.5798563965553444
279,9,Max,0.05268579965258189,0.184814436339039,0.47516385453404936
280,0,Expo-Fair,0.11309165928067108,0.06357462519204345,0.98130561708084
281,1,Expo-Fair,0.4231818176425346,0.0,2.3393415114122242
282,2,Expo-Fair,0.1688754924233269,0.1537707472110304,1.3009382690316733
283,3,Expo-Fair,0.3702264093498676,0.0,1.8377712573915268
284,4,Expo-Fair,0.15035633029314582,0.08175588542718018,1.1225201302193035
285,5,Expo-Fair,0.24613585454453818,0.0379922740767241,1.4289544947735904
286,6,Expo-Fair,0.03524760382652799,0.08421097609569708,0.45074233259824553
287,7,Expo-Fair,0.17244250135715208,0.1547902026871309,1.0299276006156672
288,8,Expo-Fair,0.11662887053266324,0.1575872266479291,0.6152448311252006
289,9,Expo-Fair,0.05825678443055336,0.16558015029575998,0.5254075751970557
290,0,NSW,0.14295364962275225,0.011828713773544774,1.2404205601835137
291,1,NSW,0.20319511633745257,0.012584312757187455,1.123258965171243
292,2,NSW,0.16776282816235005,0.0,1.2923668209374757
293,3,NSW,0.25429279347464295,0.0,1.2622870087256932
294,4,NSW,0.22279625166444444,0.0,1.6633371999911448
295,5,NSW,0.19065972794151476,0.021788379332224838,1.1068849587902634
296,6,NSW,0.08332570877575327,0.003938460593859705,1.0655596483616276
297,7,NSW,0.16562197822947228,0.01819365007934235,0.989191442391623
298,8,NSW,0.1504240974988112,0.04459980600989235,0.7935226332908522
299,9,NSW,0.0970796129115475,0.036985751245821576,0.8755437588857744
300,0,Max,0.10944233472467335,0.06920970944668492,0.9496401281479733
301,1,Max,0.4451132830280688,0.0,2.4605782594093193
302,2,Max,0.16613775365731112,0.16252863364716125,1.2798480025861823
303,3,Max,0.4139622685852558,0.0,2.054872206946321
304,4,Max,0.13317824759106334,0.13327647524827213,0.9942731612086572
305,5,Max,0.24613591394317474,0.07696418346241525,1.4289548396154619
306,6,Max,0.03403463329514922,0.10265655638408251,0.4352310039593576
307,7,Max,0.15510688669506648,0.196134463411525,0.9263891580994535
308,8,Max,0.10992046284681063,0.1984790445204699,0.5798563965553444
309,9,Max,0.05268579965258189,0.184814436339039,0.47516385453404936
310,0,Expo-Fair,0.11309165928067108,0.06357462519204345,0.98130561708084
311,1,Expo-Fair,0.4231818176425346,0.0,2.3393415114122242
312,2,Expo-Fair,0.1688754924233269,0.1537707472110304,1.3009382690316733
313,3,Expo-Fair,0.3702264093498676,0.0,1.8377712573915268
314,4,Expo-Fair,0.15035633029314582,0.08175588542718018,1.1225201302193035
315,5,Expo-Fair,0.24613585454453818,0.0379922740767241,1.4289544947735904
316,6,Expo-Fair,0.03524760382652799,0.08421097609569708,0.45074233259824553
317,7,Expo-Fair,0.17244250135715208,0.1547902026871309,1.0299276006156672
318,8,Expo-Fair,0.11662887053266324,0.1575872266479291,0.6152448311252006
319,9,Expo-Fair,0.05825678443055336,0.16558015029575998,0.5254075751970557
320,0,NSW,0.14295364962275225,0.011828713773544774,1.2404205601835137
321,1,NSW,0.20319511633745257,0.012584312757187455,1.123258965171243
322,2,NSW,0.16776282816235005,0.0,1.2923668209374757
323,3,NSW,0.25429279347464295,0.0,1.2622870087256932
324,4,NSW,0.22279625166444444,0.0,1.6633371999911448
325,5,NSW,0.19065972794151476,0.021788379332224838,1.1068849587902634
326,6,NSW,0.08332570877575327,0.003938460593859705,1.0655596483616276
327,7,NSW,0.16562197822947228,0.01819365007934235,0.989191442391623
328,8,NSW,0.1504240974988112,0.04459980600989235,0.7935226332908522
329,9,NSW,0.0970796129115475,0.036985751245821576,0.8755437588857744
330,0,Max,0.10944233472467335,0.06920970944668492,0.9496401281479733
331,1,Max,0.4451132830280688,0.0,2.4605782594093193
332,2,Max,0.16613775365731112,0.16252863364716125,1.2798480025861823
333,3,Max,0.4139622685852558,0.0,2.054872206946321
334,4,Max,0.13317824759106334,0.13327647524827213,0.9942731612086572
335,5,Max,0.24613591394317474,0.07696418346241525,1.4289548396154619
336,6,Max,0.03403463329514922,0.10265655638408251,0.4352310039593576
337,7,Max,0.15510688669506648,0.196134463411525,0.9263891580994535
338,8,Max,0.10992046284681063,0.1984790445204699,0.5798563965553444
339,9,Max,0.05268579965258189,0.184814436339039,0.47516385453404936
340,0,Expo-Fair,0.11309165928067108,0.06357462519204345,0.98130561708084
341,1,Expo-Fair,0.4231818176425346,0.0,2.3393415114122242
342,2,Expo-Fair,0.1688754924233269,0.1537707472110304,1.3009382690316733
343,3,Expo-Fair,0.3702264093498676,0.0,1.8377712573915268
344,4,Expo-Fair,0.15035633029314582,0.08175588542718018,1.1225201302193035
345,5,Expo-Fair,0.24613585454453818,0.0379922740767241,1.4289544947735904
346,6,Expo-Fair,0.03524760382652799,0.08421097609569708,0.45074233259824553
347,7,Expo-Fair,0.17244250135715208,0.1547902026871309,1.0299276006156672
348,8,Expo-Fair,0.11662887053266324,0.1575872266479291,0.6152448311252006
349,9,Expo-Fair,0.05825678443055336,0.16558015029575998,0.5254075751970557
350,0,NSW,0.14295364962275225,0.011828713773544774,1.2404205601835137
351,1,NSW,0.20319511633745257,0.012584312757187455,1.123258965171243
352,2,NSW,0.16776282816235005,0.0,1.2923668209374757
353,3,NSW,0.25429279347464295,0.0,1.2622870087256932
354,4,NSW,0.22279625166444444,0.0,1.6633371999911448
355,5,NSW,0.19065972794151476,0.021788379332224838,1.1068849587902634
356,6,NSW,0.08332570877575327,0.003938460593859705,1.0655596483616276
357,7,NSW,0.16562197822947228,0.01819365007934235,0.989191442391623
358,8,NSW,0.1504240974988112,0.04459980600989235,0.7935226332908522
359,9,NSW,0.0970796129115475,0.036985751245821576,0.8755437588857744
360,0,Max,0.10944233472467335,0.06920970944668492,0.9496401281479733
361,1,Max,0.4451132830280688,0.0,2.4605782594093193
362,2,Max,0.16613775365731112,0.16252863364716125,1.2798480025861823
363,3,Max,0.4139622685852558,0.0,2.054872206946321
364,4,Max,0.13317824759106334,0.13327647524827213,0.9942731612086572
365,5,Max,0.24613591394317474,0.07696418346241525,1.4289548396154619
366,6,Max,0.03403463329514922,0.10265655638408251,0.4352310039593576
367,7,Max,0.15510688669506648,0.196134463411525,0.9263891580994535
368,8,Max,0.10992046284681063,0.1984790445204699,0.5798563965553444
369,9,Max,0.05268579965258189,0.184814436339039,0.47516385453404936
370,0,Expo-Fair,0.11309165928067108,0.06357462519204345,0.98130561708084
371,1,Expo-Fair,0.4231818176425346,0.0,2.3393415114122242
372,2,Expo-Fair,0.1688754924233269,0.1537707472110304,1.3009382690316733
373,3,Expo-Fair,0.3702264093498676,0.0,1.8377712573915268
374,4,Expo-Fair,0.15035633029314582,0.08175588542718018,1.1225201302193035
375,5,Expo-Fair,0.24613585454453818,0.0379922740767241,1.4289544947735904
376,6,Expo-Fair,0.03524760382652799,0.08421097609569708,0.45074233259824553
377,7,Expo-Fair,0.17244250135715208,0.1547902026871309,1.0299276006156672
378,8,Expo-Fair,0.11662887053266324,0.1575872266479291,0.6152448311252006
379,9,Expo-Fair,0.05825678443055336,0.16558015029575998,0.5254075751970557
380,0,NSW,0.14295364962275225,0.011828713773544774,1.2404205601835137
381,1,NSW,0.20319511633745257,0.012584312757187455,1.123258965171243
382,2,NSW,0.16776282816235005,0.0,1.2923668209374757
383,3,NSW,0.25429279347464295,0.0,1.2622870087256932
384,4,NSW,0.22279625166444444,0.0,1.6633371999911448
385,5,NSW,0.19065972794151476,0.021788379332224838,1.1068849587902634
386,6,NSW,0.08332570877575327,0.003938460593859705,1.0655596483616276
387,7,NSW,0.16562197822947228,0.01819365007934235,0.989191442391623
388,8,NSW,0.1504240974988112,0.04459980600989235,0.7935226332908522
389,9,NSW,0.0970796129115475,0.036985751245821576,0.8755437588857744
390,0,Max,0.10944233472467335,0.06920970944668492,0.9496401281479733
391,1,Max,0.4451132830280688,0.0,2.4605782594093193
392,2,Max,0.16613775365731112,0.16252863364716125,1.2798480025861823
393,3,Max,0.4139622685852558,0.0,2.054872206946321
394,4,Max,0.13317824759106334,0.13327647524827213,0.9942731612086572
395,5,Max,0.24613591394317474,0.07696418346241525,1.4289548396154619
396,6,Max,0.03403463329514922,0.10265655638408251,0.4352310039593576
397,7,Max,0.15510688669506648,0.196134463411525,0.9263891580994535
398,8,Max,0.10992046284681063,0.1984790445204699,0.5798563965553444
399,9,Max,0.05268579965258189,0.184814436339039,0.47516385453404936
400,0,Expo-Fair,0.11309165928067108,0.06357462519204345,0.98130561708084
401,1,Expo-Fair,0.4231818176425346,0.0,2.3393415114122242
402,2,Expo-Fair,0.1688754924233269,0.1537707472110304,1.3009382690316733
403,3,Expo-Fair,0.3702264093498676,0.0,1.8377712573915268
404,4,Expo-Fair,0.15035633029314582,0.08175588542718018,1.1225201302193035
405,5,Expo-Fair,0.24613585454453818,0.0379922740767241,1.4289544947735904
406,6,Expo-Fair,0.03524760382652799,0.08421097609569708,0.45074233259824553
407,7,Expo-Fair,0.17244250135715208,0.1547902026871309,1.0299276006156672
408,8,Expo-Fair,0.11662887053266324,0.1575872266479291,0.6152448311252006
409,9,Expo-Fair,0.05825678443055336,0.16558015029575998,0.5254075751970557
410,0,NSW,0.14295364962275225,0.011828713773544774,1.2404205601835137
411,1,NSW,0.20319511633745257,0.012584312757187455,1.123258965171243
412,2,NSW,0.16776282816235005,0.0,1.2923668209374757
413,3,NSW,0.25429279347464295,0.0,1.2622870087256932
414,4,NSW,0.22279625166444444,0.0,1.6633371999911448
415,5,NSW,0.19065972794151476,0.021788379332224838,1.1068849587902634
416,6,NSW,0.08332570877575327,0.003938460593859705,1.0655596483616276
417,7,NSW,0.16562197822947228,0.01819365007934235,0.989191442391623
418,8,NSW,0.1504240974988112,0.04459980600989235,0.7935226332908522
419,9,NSW,0.0970796129115475,0.036985751245821576,0.8755437588857744
420,0,Max,0.10944233472467335,0.06920970944668492,0.9496401281479733
421,1,Max,0.4451132830280688,0.0,2.4605782594093193
422,2,Max,0.16613775365731112,0.16252863364716125,1.2798480025861823
423,3,Max,0.4139622685852558,0.0,2.054872206946321
424,4,Max,0.13317824759106334,0.13327647524827213,0.9942731612086572
425,5,Max,0.24613591394317474,0.07696418346241525,1.4289548396154619
426,6,Max,0.03403463329514922,0.10265655638408251,0.4352310039593576
427,7,Max,0.15510688669506648,0.196134463411525,0.9263891580994535
428,8,Max,0.10992046284681063,0.1984790445204699,0.5798563965553444
429,9,Max,0.05268579965258189,0.184814436339039,0.47516385453404936
430,0,Expo-Fair,0.11309165928067108,0.06357462519204345,0.98130561708084
431,1,Expo-Fair,0.4231818176425346,0.0,2.3393415114122242
432,2,Expo-Fair,0.1688754924233269,0.1537707472110304,1.3009382690316733
433,3,Expo-Fair,0.3702264093498676,0.0,1.8377712573915268
434,4,Expo-Fair,0.15035633029314582,0.08175588542718018,1.1225201302193035
435,5,Expo-Fair,0.24613585454453818,0.0379922740767241,1.4289544947735904
436,6,Expo-Fair,0.03524760382652799,0.08421097609569708,0.45074233259824553
437,7,Expo-Fair,0.17244250135715208,0.1547902026871309,1.0299276006156672
438,8,Expo-Fair,0.11662887053266324,0.1575872266479291,0.6152448311252006
439,9,Expo-Fair,0.05825678443055336,0.16558015029575998,0.5254075751970557
440,0,NSW,0.14295364962275225,0.011828713773544774,1.2404205601835137
441,1,NSW,0.20319511633745257,0.012584312757187455,1.123258965171243
442,2,NSW,0.16776282816235005,0.0,1.2923668209374757
443,3,NSW,0.25429279347464295,0.0,1.2622870087256932
444,4,NSW,0.22279625166444444,0.0,1.6633371999911448
445,5,NSW,0.19065972794151476,0.021788379332224838,1.1068849587902634
446,6,NSW,0.08332570877575327,0.003938460593859705,1.0655596483616276
447,7,NSW,0.16562197822947228,0.01819365007934235,0.989191442391623
448,8,NSW,0.1504240974988112,0.04459980600989235,0.7935226332908522
449,9,NSW,0.0970796129115475,0.036985751245821576,0.8755437588857744
450,0,Max,0.10944233472467335,0.06920970944668492,0.9496401281479733
451,1,Max,0.4451132830280688,0.0,2.4605782594093193
452,2,Max,0.16613775365731112,0.16252863364716125,1.2798480025861823
453,3,Max,0.4139622685852558,0.0,2.054872206946321
454,4,Max,0.13317824759106334,0.13327647524827213,0.9942731612086572
455,5,Max,0.24613591394317474,0.07696418346241525,1.4289548396154619
456,6,Max,0.03403463329514922,0.10265655638408251,0.4352310039593576
457,7,Max,0.15510688669506648,0.196134463411525,0.9263891580994535
458,8,Max,0.10992046284681063,0.1984790445204699,0.5798563965553444
459,9,Max,0.05268579965258189,0.184814436339039,0.47516385453404936
460,0,Expo-Fair,0.11309165928067108,0.06357462519204345,0.98130561708084
461,1,Expo-Fair,0.4231818176425346,0.0,2.3393415114122242
462,2,Expo-Fair,0.1688754924233269,0.1537707472110304,1.3009382690316733
463,3,Expo-Fair,0.3702264093498676,0.0,1.8377712573915268
464,4,Expo-Fair,0.15035633029314582,0.08175588542718018,1.1225201302193035
465,5,Expo-Fair,0.24613585454453818,0.0379922740767241,1.4289544947735904
466,6,Expo-Fair,0.03524760382652799,0.08421097609569708,0.45074233259824553
467,7,Expo-Fair,0.17244250135715208,0.1547902026871309,1.0299276006156672
468,8,Expo-Fair,0.11662887053266324,0.1575872266479291,0.6152448311252006
469,9,Expo-Fair,0.05825678443055336,0.16558015029575998,0.5254075751970557
470,0,NSW,0.14295364962275225,0.011828713773544774,1.2404205601835137
471,1,NSW,0.20319511633745257,0.012584312757187455,1.123258965171243
472,2,NSW,0.16776282816235005,0.0,1.2923668209374757
473,3,NSW,0.25429279347464295,0.0,1.2622870087256932
474,4,NSW,0.22279625166444444,0.0,1.6633371999911448
475,5,NSW,0.19065972794151476,0.021788379332224838,1.1068849587902634
476,6,NSW,0.08332570877575327,0.003938460593859705,1.0655596483616276
477,7,NSW,0.16562197822947228,0.01819365007934235,0.989191442391623
478,8,NSW,0.1504240974988112,0.04459980600989235,0.7935226332908522
479,9,NSW,0.0970796129115475,0.036985751245821576,0.8755437588857744
